# word variants separated by / ; | gloss
أب/اب|father
بابا|dad (informal)
أبي/ابي|my father
أبوك/أبوكِ/أبوكي/ابوك|your father
أبيك/ابيك|your father (gen.)
توت|berries
تاب|he repented
بات|he slept over
ثوب|garment
ثواب|reward
توبوا|repent (pl.)
تابوت|casket
توب|tuub
ثاب|thaab
بيت|house
بيتي|my house
بابي|my door
حرف|letter (Harf)
أحسنت/احسنت|good job
تمام|OK
بالعربي/بالعربية|in Arabic
بالإنجليزي/بالانجليزي/بالإنجليزية|in English
أي/اي|which
أيّ مدينة/اي مدينة|which city
دمشق|Damascus
هنا|here
هناك|there
أم/ام|mother
جاء|he came
اتحاد|union
همزة|hamza
ألف/الف|alif
باء|baa
تاء|taa
ثاء|thaa
واو|waaw
ياء|yaa
نون|nuun
ميم|miim
فتحة|fatHa
ضمة|Damma
كسرة|kasra
سكون|sukuun
تشكيل|tashkiil
حركات|Harakaat
مرحبا|marHaba
أهلا/اهلا|ahlan
أهلين/اهلين|ahlain
سهلا|sahlan
السلام عليكم|greeting
وعليكم السلام|reply
سلام|peace
شكرا|thanks
عفوا|you're welcome
تشرفنا|nice to meet you
أنا/انا|I
اسمي|my name
اسم|name
اسمك|your name
من|from
أين/اين|where
وين|wayn
شو|shuu
مدينة|city
أسكن/اسكن|I live
تسكن|you live
في|in
نعم|yes
لا|no
هل|hal
حضرتك|polite you
أنت/انت|you
مع السلامة|goodbye
كيف حالك/كيفك|how are you
صباح الخير|good morning
مساء الخير|good evening
الحمد لله|praise God
إن شاء الله/ان شاء الله|God willing
يلا/يالله|come on
طيب|OK (Tayyib)
خلاص|enough
بس|just/but
ممتاز|excellent
جيد|good
كتاب|book
درس|lesson
واجب|homework
سؤال|question
جواب|answer
كلمة|word
قل/قولي/قولوا|say
كرر/كرري|repeat
أعد/أعيدي|repeat
اسمع/اسمعي|listen
اكتب/اكتبي|write
اقرأ/اقرئي|read
أستاذة/استاذة/أستاذ|professor
دكتورة|doctor (f)
بنت|girl
ولد|boy
أخ/اخ|brother
أخت/اخت|sister
جد/جدي|grandfather
جدة|grandmother
عم|uncle
خال|uncle (maternal)
تونس|Tunisia
سوريا/سورية|Syria
لبنان|Lebanon
مصر|Egypt
أمريكا/امريكا|America
فرجينيا|Virginia
لينشبرغ/لنشبرغ|Lynchburg
شامي|shaami
مصري|maSri
فصحى|fuSHa
عربي/عربية|Arabic
إنجليزي/انجليزي/إنكليزي|English
خوري|Khouri
إلياس/الياس|Elias
صح/صحيح|correct (SaHH)
جلابية/جلابيه|jallabiyya
واو الجماعة|plural waaw
غلط|wrong
